"Story","Title","Result","Date","Stability","Duration (s)"
"Lista de colores","Consulta fallida","SUCCESS","2022-03-25T00:12:28.765-05:00[America/Bogota]","0.0","0.59"
"Lista de colores","Consulta exitosa de lista de colores","SUCCESS","2022-03-25T00:34:49.839-05:00[America/Bogota]","0.0","4.18"
"Lista de colores","Se le agrega un para metro adicional a la url","SUCCESS","2022-03-25T00:34:54.024-05:00[America/Bogota]","0.0","0.59"
"Lista de posts","Consulta exitosa de lista posts","SUCCESS","2022-03-25T19:44:12.359-05:00[America/Bogota]","0.0","4.72"
"Lista de posts","Se le agrega un parametro adicional al cuerpo del post","SUCCESS","2022-03-25T19:44:17.084-05:00[America/Bogota]","0.0","0.02"
"creacion de posts","creacion exitosa de un posts","SUCCESS","2022-03-25T20:56:41.923-05:00[America/Bogota]","0.0","9.76"
"creacion de posts","modificacion de post existente","SUCCESS","2022-03-25T20:56:51.71-05:00[America/Bogota]","0.0","0.87"
"Test initial","Get user fail","FAILURE","2022-03-23T14:06:24.581-05:00[America/Bogota]","0.0","4.04"
"Test initial","Get user","SUCCESS","2022-03-23T14:34:00.243-05:00[America/Bogota]","0.0","3.95"
"Test initial","Getposts","ERROR","2022-03-23T20:53:19.806-05:00[America/Bogota]","0.0","4.87"
"Test initial","Get list","ERROR","2022-03-23T20:59:15.263-05:00[America/Bogota]","0.0","4.53"
"Test initial","Initial test","SUCCESS","2022-03-24T21:25:04.743-05:00[America/Bogota]","0.0","4.68"
